workflow_step,content_type,entity_type,supported_gap_type,gap_category,severity,detection_method,implementation_location,notes
Onboarding/import (resume upload),Work history role summary,work_item,data_quality,missing_role_description,high,heuristics (rule-based),src/services/gapDetectionService.ts:detectRoleDescriptionGaps,"Empty/blank description check."
Onboarding/import (resume upload),Work history role summary,work_item,best_practice,role_description_needs_specifics,medium/high,heuristics (content standards),src/services/gapDetectionService.ts:checkContentStandards,"Flags role descriptions that are too short or lack specificity/evidence."
Onboarding/import (resume upload),Work history role metrics,work_item,best_practice,missing_role_metrics,medium,heuristics (rule-based),src/services/gapDetectionService.ts:detectRoleMetricsGaps,"Counts role-level metrics with values."
Onboarding/import (resume upload),Work history role metrics,work_item,best_practice,insufficient_role_metrics,low,heuristics (rule-based),src/services/gapDetectionService.ts:detectRoleMetricsGaps,"Only if <3 metrics AND (has stories OR tenure >= ~1 year)."
Onboarding/import (resume upload),Work history story,approved_content,data_quality,incomplete_story,high,heuristics (regex),src/services/gapDetectionService.ts:checkStoryCompleteness,"STAR/Accomplished-format detection."
Onboarding/import (resume upload),Work history story,approved_content,best_practice,missing_metrics,medium,heuristics (presence check),src/services/gapDetectionService.ts:detectStoryGaps,"If story.metrics missing; may also be implied by completeness check."
Onboarding/import (resume upload),Work history story,approved_content,best_practice,story_needs_specifics,medium/high,heuristics (content standards),src/services/gapDetectionService.ts:checkContentStandards,"Flags stories that are too short or lack specificity/evidence (separate from STAR/metrics checks)."
Onboarding/import (resume upload),Work history tags vs goals,work_item/companies/saved_section,role_expectation,tag_industry_misalignment,medium,heuristics (string similarity),src/services/gapDetectionService.ts:detectTagMisalignmentGaps,"Requires userGoals (industries)."
Onboarding/import (resume upload),Work history tags vs goals,work_item/companies/saved_section,role_expectation,tag_business_model_misalignment,medium,heuristics (string similarity),src/services/gapDetectionService.ts:detectTagMisalignmentGaps,"Requires userGoals (businessModels)."
Background (post-import),Work history role summary,work_item,best_practice,role_description_needs_specifics,medium/high,LLM (batch) with heuristic fallback (FF-gated),src/services/fileUploadService.ts:runBackgroundGenericGapJudge + src/lib/flags.ts:isBackgroundGenericGapJudgeEnabled,"OFF by default; if enabled, writes standards-based category."
Background (post-import),Work history story,approved_content,best_practice,story_needs_specifics,medium/high,LLM (batch) with heuristic fallback (FF-gated),src/services/fileUploadService.ts:runBackgroundGenericGapJudge + src/lib/flags.ts:isBackgroundGenericGapJudgeEnabled,"OFF by default; if enabled, writes standards-based category."
Work history review UI,Work history role/story surfacing,work_item/approved_content,best_practice/data_quality,(varies),(varies),N/A (display + resolution),src/pages/WorkHistory.tsx + src/components/work-history/WorkHistoryDetail.tsx,"UI loads unresolved gaps and shows banners/counts; can resolve (dismiss/content-added)."
Saved sections library,Cover letter saved section,saved_section,best_practice,saved_section_needs_specifics,medium/high,heuristics (content standards),src/services/gapDetectionService.ts:detectCoverLetterSectionGaps + src/services/gapDetectionService.ts:checkContentStandards,"Flags saved sections that are too short or lack specificity/evidence."
Saved sections library,Cover letter saved section,saved_section,best_practice,incomplete_intro,medium,heuristics (regex),src/services/gapDetectionService.ts:detectCoverLetterSectionGaps,"Checks presence of company/role mentions (simple placeholders/keywords)."
Saved sections library,Cover letter saved section,saved_section,best_practice,incomplete_cover_letter_section,high,heuristics (reuses STAR/Accomplished check),src/services/gapDetectionService.ts:detectCoverLetterSectionGaps + src/services/gapDetectionService.ts:checkStoryCompleteness,"Applies story completeness heuristic to paragraph/closer content."
Saved sections library,Cover letter saved section,saved_section,best_practice,missing_metrics_cover_letter,medium,heuristics (regex),src/services/gapDetectionService.ts:detectCoverLetterSectionGaps,"Only for paragraph sections; not enforced for closer."
Saved sections library,Cover letter saved section,saved_section,best_practice,incomplete_signature,low,heuristics (regex),src/services/gapDetectionService.ts:detectCoverLetterSectionGaps,"Checks presence of contact info placeholders/keywords."
Cover letter draft (JD analysis),Draft section/overall,not stored in gaps table,core-requirement/preferred-requirement/best-practice/content-enhancement,(derived from analysis; not gap_category),high/medium/low,both (heuristics + LLM),src/services/gapTransformService.ts + src/services/sectionGapEvaluator.ts + src/prompts/sectionGaps.ts,"This is a separate gap system for cover-letter drafting; gaps are derived from match analysis + per-section insights."
HIL (cover letter draft fixing),Draft section content generation,not stored in gaps table,content generation for draft gaps,(N/A),N/A,LLM streaming (with fallback),src/services/gapResolutionStreamingService.ts + src/components/hil/ContentGenerationModal.tsx,"Streams revised text to address a selected draft gap; user can apply generated content."
HIL (cover letter draft fixing),Draft section persistence for reuse,cover_letter_drafts,variation/saved-section creation,draft_gap:...,N/A,DB persistence,src/services/draftGapSyncService.ts + src/services/hilCoverLetterReuseService.ts + src/components/cover-letters/CoverLetterModal.tsx,"Auto-save on Apply: upserts draft gaps into gaps table (entity_type=cover_letter_drafts, gap_category=draft_gap:...). Story-sourced sections are saved as content_variations with filled_gap_id; saved-section-sourced sections are saved as a new saved_sections record with semantic title + tags reflecting addressed gaps. Cross-post via checkboxes: story → new saved section; saved section → new story."
PM levels expectation sync,Work history role/story,work_item/approved_content,role_expectation,pm_level_expectation_work_item / pm_level_expectation_story,medium,heuristics (from PM-level inference output),src/services/gapDetectionService.ts:syncPmLevelExpectationGaps,"Creates/resolves expectation gaps based on PM level inference results."
